"Country","Area","Withdrawal","Continent"
"Afghanistan",65286,20.3729,"Asia"
"Albania",2773,1.4198,"Europe"
"Algeria",238174,10.462,"Africa"
"Angola",124670,0.7058,"Africa"
"Antigua and Barbuda",44,0.0115,"Americas"
"Argentina",278040,37.78,"Americas"
"Armenia",2974,2.8658,"Asia"
"Australia",774122,16.554,"Oceania"
"Austria",8387.9,3.4921,"Europe"
"Azerbaijan",8660,12.7816,"Asia"
"Bahrain",78,0.4344,"Asia"
"Bangladesh",14797.7,35.87,"Asia"
"Barbados",43,0.081,"Americas"
"Belarus",20760,1.397,"Europe"
"Belgium",3053,3.994,"Europe"
"Belize",2297,0.101,"Americas"
"Benin",11476,0.234,"Africa"
"Bhutan",3839.4,0.338,"Asia"
"Bolivia (Plurinational State of)",109858,2.088,"Americas"
"Botswana",58173,0.193,"Africa"
"Brazil",851577,65.681,"Americas"
"Brunei Darussalam",577,0.092,"Asia"
"Bulgaria",11100,5.6585,"Europe"
"Burkina Faso",27422,0.818,"Africa"
"Burundi",2783,0.2801,"Africa"
"Cabo Verde",403,0.027,"Africa"
"Cambodia",18104,2.184,"Asia"
"Cameroon",47544,1.0884,"Africa"
"Canada",987975,35.597,"Americas"
"Central African Republic",62298,0.0725,"Africa"
"Chad",128400,0.8796,"Africa"
"Chile",75609.6,35.431,"Americas"
"China",960001.08,598.1,"Asia"
"Colombia",114174.9,13.611,"Americas"
"Comoros",186.1,0.01,"Africa"
"Congo",34200,0.0917,"Africa"
"Costa Rica",5110,3.194,"Americas"
"C̫te d'Ivoire",32246,1.162,"Africa"
"Croatia",5722,0.715,"Europe"
"Cuba",10747,6.959,"Americas"
"Cyprus",925,0.311,"Asia"
"Czechia",7887,1.6304,"Europe"
"Democratic People's Republic of Korea",12054,8.6578,"Asia"
"Democratic Republic of the Congo",234486,0.6836,"Africa"
"Denmark",4093,0.7411,"Europe"
"Djibouti",2320,0.019,"Africa"
"Dominica",75,0.02,"Americas"
"Dominican Republic",4867,9.0779,"Americas"
"Ecuador",25637,9.918,"Americas"
"Egypt",100145,77.5,"Africa"
"El Salvador",2104,2.118,"Americas"
"Equatorial Guinea",2805,0.0198,"Africa"
"Eritrea",11760,0.582,"Africa"
"Estonia",4534,1.7849,"Europe"
"Eswatini",1736,1.068,"Africa"
"Ethiopia",110430,10.5481,"Africa"
"Fiji",1827,0.0849,"Oceania"
"Finland",33845,1.867,"Europe"
"France",54908.7,26.438,"Europe"
"Gabon",26767,0.1391,"Africa"
"Gambia",1130,0.1016,"Africa"
"Georgia",6970,1.823,"Asia"
"Germany",35725,24.4377,"Europe"
"Ghana",23854,1.4646,"Africa"
"Greece",13196,11.2403,"Europe"
"Grenada",34,0.0141,"Americas"
"Guatemala",10889,3.3241,"Americas"
"Guinea",24586,0.5739,"Africa"
"Guinea-Bissau",3613,0.19,"Africa"
"Guyana",21497,1.4447,"Americas"
"Haiti",2775,1.45,"Americas"
"Honduras",11249,1.607,"Americas"
"Hungary",9303,4.5011,"Europe"
"Iceland",10300,0.2783,"Europe"
"India",328725.9,761,"Asia"
"Indonesia",197952.9,222.635,"Asia"
"Iran (Islamic Republic of)",174515,93.3,"Asia"
"Iraq",43505.2,38.55,"Asia"
"Ireland",7028,0.861,"Europe"
"Israel",2207,2.304,"Asia"
"Italy",30134,34.188,"Europe"
"Jamaica",1099,1.354,"Americas"
"Japan",37797,81.45,"Asia"
"Jordan",8932,1.0441,"Asia"
"Kazakhstan",272490.2,24.451,"Asia"
"Kenya",58037,4.032,"Africa"
"Kuwait",1782,1.25,"Asia"
"Kyrgyzstan",19995,7.66,"Asia"
"Lao People's Democratic Republic",23680,7.32,"Asia"
"Latvia",6457,0.1811,"Europe"
"Lebanon",1045,1.84,"Asia"
"Lesotho",3036,0.0438,"Africa"
"Liberia",11137,0.1459,"Africa"
"Libya",175954,5.83,"Africa"
"Lithuania",6528.6,0.259,"Europe"
"Luxembourg",259,0.0456,"Europe"
"Madagascar",58729.5,13.5569,"Africa"
"Malawi",11848,1.3568,"Africa"
"Malaysia",33080,5.488,"Asia"
"Maldives",30,0.0059,"Asia"
"Mali",124019,5.186,"Africa"
"Malta",32,0.0638,"Europe"
"Mauritania",103070,1.3502,"Africa"
"Mauritius",204,0.616,"Africa"
"Mexico",196438,87.844,"Americas"
"Mongolia",156411.62,0.4624,"Asia"
"Montenegro",1381,0.1609,"Europe"
"Morocco",44655,10.431,"Africa"
"Mozambique",79938,1.473,"Africa"
"Myanmar",67663,33.3914,"Asia"
"Namibia",82429,0.288,"Africa"
"Nepal",14718,9.4971,"Asia"
"Netherlands",3739,16.0765,"Europe"
"New Zealand",26771,5.201,"Oceania"
"Nicaragua",13037,1.5446,"Americas"
"Niger",126700,1.7509,"Africa"
"Nigeria",92377,12.475,"Africa"
"North Macedonia",2571,0.832527289,"Europe"
"Norway",38520.8,2.6912,"Europe"
"Oman",30950,1.872,"Asia"
"Pakistan",79610,183.45,"Asia"
"Palestine",602,0.3752,"Asia"
"Panama",7520,1.2114,"Americas"
"Papua New Guinea",46284,0.3921,"Oceania"
"Paraguay",40675.2,2.413,"Americas"
"Peru",128522,16.1036,"Americas"
"Philippines",30000,92.749,"Asia"
"Poland",31270,10.081,"Europe"
"Portugal",9222.56,11.1781,"Europe"
"Puerto Rico",887,3.2745,"Americas"
"Qatar",1149,0.9126,"Asia"
"Republic of Korea",10031,27.082,"Asia"
"Republic of Moldova",3385,0.84,"Europe"
"Romania",23840,6.773,"Europe"
"Russian Federation",1709825,64.41,"Europe"
"Rwanda",2634,0.1839,"Africa"
"Saint Kitts and Nevis",26,0.0156,"Americas"
"Saint Lucia",62,0.0429,"Americas"
"Saint Vincent and the Grenadines",39,0.008502,"Americas"
"Sao Tome and Principe",96,0.0409,"Africa"
"Saudi Arabia",214969,23.35,"Asia"
"Senegal",19671,2.221,"Africa"
"Serbia",8836,5.3773,"Europe"
"Seychelles",46,0.0137,"Africa"
"Sierra Leone",7230,0.2122,"Africa"
"Singapore",71.9,0.6594,"Asia"
"Slovakia",4903,0.5563,"Europe"
"Slovenia",2026.64,0.9314,"Europe"
"Somalia",63766,3.298,"Africa"
"South Africa",121909,19.38,"Africa"
"South Sudan",64433,0.658,"Africa"
"Spain",50593.523,31.216,"Europe"
"Sri Lanka",6561,12.946,"Asia"
"Sudan",187936,26.935,"Africa"
"Suriname",16382,0.6159,"Americas"
"Sweden",44743,2.375,"Europe"
"Switzerland",4129.039,1.7338,"Europe"
"Syrian Arab Republic",18518,16.7604,"Asia"
"Tajikistan",14138,11.4948,"Asia"
"Thailand",51312,57.306,"Asia"
"Timor-Leste",1487,1.172,"Asia"
"Togo",5679,0.223,"Africa"
"Trinidad and Tobago",513,0.3832,"Americas"
"Tunisia",16361,4.875,"Africa"
"Turkey",78535,58.964,"Asia"
"Turkmenistan",48810,27.954,"Asia"
"Uganda",24155,0.637,"Africa"
"Ukraine",60355,9.18,"Europe"
"United Arab Emirates",7102,3.998,"Asia"
"United Kingdom",24361,8.42,"Europe"
"United Republic of Tanzania",94730,5.184,"Africa"
"United States of America",983334,444.29,"Americas"
"Uruguay",17622,3.66,"Americas"
"Uzbekistan",44740,58.9,"Asia"
"Venezuela (Bolivarian Republic of)",91205,22.6263,"Americas"
"Viet Nam",33123,82.03,"Asia"
"Yemen",52797,3.565,"Asia"
"Zambia",75261,1.572,"Africa"
"Zimbabwe",39076,3.3391,"Africa"
